listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
1,"Entire home/apt in Bugis, Singapore",1001,2022-08-03,Singapore,a few days or more,64,78,False,10,True,True,Bugis,West,Singapore,1.392815,103.835694,House,Entire home/apt,3,2,Wifi|Air conditioning|Washer,207.51,1,60,3.62,3.67,3.42,3.5,3.9,3.52,3.27,True
2,"Private room in Bangsar, Kuala Lumpur",1002,2025-05-05,Kuala Lumpur,within a day,72,63,False,11,True,True,Bangsar,West,Kuala Lumpur,3.150287,101.67246,House,Private room,8,4,Pool|Heating|Washer|Air conditioning|Wifi|Workspace|TV|Kitchen|Elevator|Iron|Free parking|Gym,205.49,7,30,3.7,3.7,3.4,3.86,3.58,3.63,3.79,False
3,"Private room in Makati, Manila",1003,2015-05-12,Manila,within a day,64,58,False,9,True,True,Makati,North,Manila,14.566887,120.980173,House,Private room,1,1,Workspace|Pool|Washer|Elevator|Gym|Iron|Heating|Air conditioning|Kitchen|Wifi|TV|Free parking,80.6,1,30,4.54,4.67,4.23,4.42,4.68,4.6,4.33,False
4,"Shared room in Senayan, Jakarta",1004,2016-04-14,Jakarta,within an hour,90,69,False,14,True,True,Senayan,South,Jakarta,-6.20161,106.81274,House,Shared room,1,1,Air conditioning|Free parking|Gym|Kitchen|Elevator|Wifi|Pool|TV,75.42,3,60,4.95,4.73,5.0,5.0,5.0,4.97,4.55,True
5,"Private room in Bugis, Singapore",1005,2017-09-13,Singapore,within a day,75,92,False,11,True,False,Bugis,West,Singapore,1.394654,103.837237,House,Private room,5,2,Air conditioning|TV|Kitchen|Heating|Elevator|Free parking|Workspace|Iron|Washer|Wifi,127.17,2,1125,4.87,4.8,4.62,4.7,4.68,4.9,4.76,True
6,"Private room in Tiong Bahru, Singapore",1006,2017-09-01,Singapore,within an hour,53,75,False,12,True,True,Tiong Bahru,West,Singapore,1.393907,103.79933,Apartment,Private room,6,3,Heating|Elevator|Washer|Iron|Gym|Air conditioning|Wifi|Pool|Workspace|TV|Kitchen|Free parking,145.9,1,60,4.04,3.84,3.96,3.91,3.93,4.02,4.08,True
7,"Private room in Makati, Manila",1007,2025-05-22,Manila,a few days or more,59,62,False,5,True,True,Makati,East,Manila,14.573234,120.985116,Apartment,Private room,1,1,Washer|Gym|Wifi|Kitchen|Iron|Heating|Workspace|TV|Pool|Air conditioning,121.29,1,1125,3.96,4.03,3.6,3.92,3.79,3.95,4.02,False
8,"Private room in Orchard, Singapore",1008,2022-07-28,Singapore,within a day,79,70,False,15,True,True,Orchard,Central,Singapore,1.365338,103.817978,Apartment,Private room,2,1,Washer|Heating|Iron|Wifi|Air conditioning|Workspace|Pool|Free parking|Kitchen|Elevator|TV|Gym,106.73,1,365,3.63,3.64,3.57,3.48,3.7,3.63,3.3,True
9,"Entire home/apt in Tiong Bahru, Singapore",1009,2022-11-21,Singapore,within a few hours,93,90,False,14,True,False,Tiong Bahru,West,Singapore,1.392416,103.799861,House,Entire home/apt,8,4,Wifi|Iron|TV|Free parking|Air conditioning|Elevator|Kitchen|Workspace|Heating|Pool|Washer,286.86,3,365,3.69,3.52,3.83,3.52,3.81,3.89,3.31,True
10,"Private room in Thonglor, Bangkok",1010,2016-04-03,Bangkok,within an hour,72,99,True,9,True,False,Thonglor,North,Bangkok,13.748616,100.546861,Condominium,Private room,7,4,Wifi|Pool|Heating|TV|Kitchen|Washer|Air conditioning|Workspace|Elevator|Iron|Free parking,225.85,3,60,4.82,4.98,4.56,4.7,5.0,4.63,4.63,True
